Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-07-28 09:37:00,false,"Gustavo A Madero Running","5.21","363","00:31:31","134","159","168","194","6:03","3:31","37","36","0.98","0.0","5,272","No","00:00:47.1","6","--","--","--","--","--","--","--","--","00:31:30","00:31:31","2,226","2,245"
Running,2024-07-26 18:22:12,false,"Ecatepec de Morelos Running","18.08","1,263","01:48:30","143","157","169","175","6:00","5:30","31","30","0.99","0.0","18,264","No","00:00:29.2","19","--","--","--","--","--","--","--","--","01:48:25","01:48:30","2,224","2,241"
Running,2024-07-24 09:12:20,false,"Tacámbaro Running","5.00","347","00:36:01","123","149","161","173","7:12","5:31","53","52","0.86","0.0","5,782","No","00:06:54.0","5","--","--","--","--","--","--","--","--","00:35:56","00:36:01","2,255","2,285"
Running,2024-07-22 07:30:44,false,"Zihuatanejo de Azueta Running","6.53","461","00:47:10","125","155","162","172","7:13","4:58","47","47","0.86","0.0","7,602","No","00:02:45.1","7","--","--","--","--","--","--","--","--","00:47:07","00:47:19","--","17"
Running,2024-07-21 19:18:33,false,"Zihuatanejo de Azueta Running","5.01","362","00:32:44","134","149","163","172","6:32","5:18","13","11","0.94","0.0","5,330","No","00:00:03.2","6","--","--","--","--","--","--","--","--","00:32:20","00:32:44","6","15"
Running,2024-07-20 18:28:16,false,"Zihuatanejo de Azueta - Zihua","11.50","842","01:21:04","150","198","135","202","7:03","2:51","6","10","1.01","0.0","11,330","No","00:00:20.0","18","--","--","--","--","--","--","--","--","01:16:01","01:21:04","5","17"
Running,2024-07-19 10:00:02,false,"Tacámbaro Running","2.00","125","00:09:36.8","152","166","160","215","4:49","1:34","8","10","1.30","0.0","1,604","No","00:04:35.8","2","--","--","--","--","--","--","--","--","00:09:36.0","00:09:36.8","2,255","2,263"
Running,2024-07-19 09:05:23,false,"Tacámbaro Running","1.32","89","00:10:06","116","125","160","165","7:40","6:26","24","26","0.82","0.0","1,612","No","00:02:30.8","2","--","--","--","--","--","--","--","--","00:10:02","00:10:06","2,255","2,264"
Running,2024-07-18 09:31:22,false,"Tacámbaro Running","1.38","93","00:10:08","115","125","160","165","7:22","6:12","7","11","0.85","0.0","1,618","No","00:02:43.3","2","--","--","--","--","--","--","--","--","00:10:03","00:10:08","2,255","2,264"
Running,2024-07-16 19:08:54,false,"Ecatepec de Morelos - Recovery","4.78","331","00:30:02","126","133","167","173","6:17","4:12","21","13","0.95","0.0","5,002","No","00:00:01.6","6","--","--","--","--","--","--","--","--","00:29:46","00:30:02","2,225","2,238"
Running,2024-07-15 19:14:22,false,"Ecatepec de Morelos Running","4.45","311","00:30:02","121","129","163","169","6:45","5:57","25","24","0.91","0.0","4,894","No","00:03:03.8","5","--","--","--","--","--","--","--","--","00:30:01","00:30:02","2,225","2,242"
Running,2024-07-14 06:19:35,false,"Cuauhtémoc Running","21.29","1,473","01:40:18","167","181","178","194","4:43","3:12","239","224","1.19","0.0","17,784","No","00:00:59.8","22","--","--","--","--","--","--","--","--","01:40:13","01:40:18","2,233","2,336"
Running,2024-07-10 15:15:42,false,"Ecatepec de Morelos Running","9.14","610","00:41:47","163","181","178","188","4:34","3:50","26","26","1.23","0.0","7,438","No","00:00:31.2","10","--","--","--","--","--","--","--","--","00:41:39","00:41:47","2,224","2,240"
Running,2024-07-10 15:05:39,false,"Ecatepec de Morelos Running","1.49","105","00:10:04","123","136","163","169","6:45","6:03","2","3","0.91","0.0","1,648","No","00:03:28.1","2","--","--","--","--","--","--","--","--","00:09:56.1","00:10:04","2,226","2,232"
Running,2024-07-08 18:57:44,false,"Ecatepec de Morelos Running","1.70","123","00:11:33","137","141","166","171","6:49","6:33","7","6","0.88","0.0","1,916","No","00:04:46.4","2","--","--","--","--","--","--","--","--","00:11:32","00:11:33","2,225","2,235"
Running,2024-07-08 18:04:25,false,"Ecatepec de Morelos Running","8.01","536","00:36:35","169","180","180","188","4:34","4:11","11","9","1.21","0.0","6,592","No","00:00:00.5","9","--","--","--","--","--","--","--","--","00:36:29","00:36:35","2,224","2,236"
Running,2024-07-08 17:54:53,false,"Ecatepec de Morelos Running","1.47","107","00:10:04","127","140","162","173","6:50","5:50","--","--","0.90","0.0","1,642","No","00:03:27.9","2","--","--","--","--","--","--","--","--","00:10:03","00:10:04","2,225","2,233"
Running,2024-07-07 09:03:05,false,"Gustavo A Madero Running","1.01","52","00:03:48.2","148","175","177","195","3:47","3:23","7","4","1.49","0.0","684","No","00:00:01.3","2","--","--","--","--","--","--","--","--","00:03:40","00:08:19.1","2,230","2,239"
Running,2024-07-07 08:38:38,false,"Gustavo A Madero Running","4.46","301","00:20:33","169","192","179","190","4:37","4:02","42","37","1.21","0.0","3,676","No","00:02:10.4","5","--","--","--","--","--","--","--","--","00:20:15","00:20:33","2,225","2,245"
Running,2024-07-05 17:57:20,false,"Ecatepec de Morelos - Dos series a umbral","12.84","891","01:12:17","155","184","163","190","5:38","3:58","43","42","1.09","0.0","11,930","No","00:00:05.0","17","--","--","--","--","--","--","--","--","01:11:20","01:12:17","2,225","2,236"
Running,2024-07-03 06:11:48,false,"Ecatepec de Morelos Running","27.04","1,883","02:41:39","150","162","169","174","5:59","4:50","66","64","0.99","0.0","27,298","No","00:00:14.7","28","--","--","--","--","--","--","--","--","02:41:31","02:41:39","2,224","2,247"
Running,2024-07-02 17:55:51,false,"Ecatepec de Morelos Running","4.63","339","00:30:02","138","147","165","170","6:29","6:01","25","24","0.94","0.0","4,950","No","00:04:08.4","5","--","--","--","--","--","--","--","--","00:30:00","00:30:02","2,229","2,242"
Running,2024-07-01 17:57:10,false,"Ecatepec de Morelos Running","4.63","323","00:30:01","126","138","164","170","6:29","5:23","21","21","0.94","0.0","4,936","No","00:04:06.0","5","--","--","--","--","--","--","--","--","00:30:00","00:30:01","2,229","2,241"
Running,2024-06-30 08:34:40,false,"Ecatepec de Morelos Running","16.01","1,118","01:34:32","146","167","170","183","5:54","3:50","47","47","1.00","0.0","15,998","No","00:00:00.9","17","--","--","--","--","--","--","--","--","01:34:23","01:34:32","2,224","2,236"
Running,2024-06-28 15:06:17,false,"Ecatepec de Morelos Running","1.01","58","00:03:52.1","147","166","177","193","3:50","3:36","--","1","1.47","0.0","688","No","00:00:01.8","2","--","--","--","--","--","--","--","--","00:03:46.8","00:03:52.1","2,227","2,232"
